slide_id,resolution,process,status,seg_level,sthresh,mthresh,close,use_otsu,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn,black_thresh,clip_min,clip_max,bag_size
54918-A,3.98,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
55133-A,3.98,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
55714-A,4.0,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
57045-A,3.98,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
61812-A,3.98,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
62401-A,3.98,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
63221-A,3.98,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
63921-A,3.98,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
66337-A,3.98,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
67480-A,3.98,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
68259-A,3.98,1,tbp,0,50,19,4,False,3,1,8,0,8,True,four_pt_hard,18000,25000,36000,
